package,declared,locked,latest_tag,status,engines,source,checked_date,dev_sha
shiki,^4.1.0,4.2.0,4.4.3,differs-from-latest,"{""node"": "">=20""}",https://registry.npmjs.org/shiki/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
sonner,^1.7.4,1.7.4,2.0.8,differs-from-latest,{},https://registry.npmjs.org/sonner/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
streamdown,^2.5.0,2.5.0,2.6.0,differs-from-latest,{},https://registry.npmjs.org/streamdown/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
tailwind-merge,^2.6.0,2.6.0,3.6.0,differs-from-latest,{},https://registry.npmjs.org/tailwind-merge/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
tailwindcss,^3.4.17,3.4.17,4.3.3,differs-from-latest,{},https://registry.npmjs.org/tailwindcss/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
tailwindcss-animate,^1.0.7,1.0.7,1.0.7,matches-latest,{},https://registry.npmjs.org/tailwindcss-animate/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
tsx,^4.21.0,4.21.0,4.23.13,differs-from-latest,"{""node"": "">=18.0.0""}",https://registry.npmjs.org/tsx/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
typescript,^5.8.3,5.8.3,7.0.2,differs-from-latest,"{""node"": "">=16.20.0""}",https://registry.npmjs.org/typescript/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
typescript-eslint,^8.38.0,8.38.0,8.69.0,differs-from-latest,"{""node"": ""^18.18.0 || ^20.9.0 || >=21.1.0""}",https://registry.npmjs.org/typescript-eslint/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
use-stick-to-bottom,^1.1.4,1.1.6,1.1.6,matches-latest,{},https://registry.npmjs.org/use-stick-to-bottom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
vaul,^0.9.9,0.9.9,1.1.2,differs-from-latest,{},https://registry.npmjs.org/vaul/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
vite,^5.4.19,5.4.19,8.2.2,differs-from-latest,"{""node"": ""^20.19.0 || >=22.12.0""}",https://registry.npmjs.org/vite/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
vitest,^3.2.4,3.2.4,5.0.0,differs-from-latest,"{""node"": ""^22.12.0 || ^24.0.0 || >=26.0.0""}",https://registry.npmjs.org/vitest/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
zod,^3.25.76,3.25.76,4.5.4,differs-from-latest,{},https://registry.npmjs.org/zod/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
zustand,^5.0.12,5.0.13,5.0.15,differs-from-latest,"{""node"": "">=12.20.0""}",https://registry.npmjs.org/zustand/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
